Entity,Code,Year,GDP per capita,814479-annotations
Afghanistan,AFG,1950,725,
Afghanistan,AFG,1955,782,
Afghanistan,AFG,1960,832,
Afghanistan,AFG,1965,809,
Afghanistan,AFG,1970,798,
Afghanistan,AFG,1975,674,
Afghanistan,AFG,1980,639,
Afghanistan,AFG,1985,818,
Afghanistan,AFG,1990,604.049,
Afghanistan,AFG,1995,334,
Afghanistan,AFG,2000,223,
Afghanistan,AFG,2005,360,
Afghanistan,AFG,2010,511,
Afghanistan,AFG,2015,585,
Afghanistan,AFG,2020,557.3644,
Albania,ALB,1870,446.1028,
Albania,ALB,1880,515.8619,
Albania,ALB,1890,597.79614,
Albania,ALB,1900,685,
Albania,ALB,1913,810.6904,
Albania,ALB,1925,895.56964,
Albania,ALB,1929,926.305,
Albania,ALB,1933,926.305,
Albania,ALB,1938,1001.3386,
Albania,ALB,1950,1001.3386,
Albania,ALB,1955,1180.8954,
Albania,ALB,1960,1450.9147,
Albania,ALB,1965,1675.4469,
Albania,ALB,1970,2003.5366,
Albania,ALB,1975,2289.4722,
Albania,ALB,1980,2347.0842,
Albania,ALB,1985,2412.649,
Albania,ALB,1990,2499.4016,
Albania,ALB,1995,2240,
Albania,ALB,2000,2861,
Albania,ALB,2005,3974,
Albania,ALB,2010,5204,
Albania,ALB,2015,5630,
Albania,ALB,2020,6281.8374,
Algeria,DZA,1870,715.04236,
Algeria,DZA,1880,792,
Algeria,DZA,1890,957.3963,
Algeria,DZA,1900,1012.53076,
Algeria,DZA,1913,1163.3618,
Algeria,DZA,1925,1313.0043,
Algeria,DZA,1929,1377,
Algeria,DZA,1933,1377,
Algeria,DZA,1938,1357.0865,
Algeria,DZA,1950,1364.7396,
Algeria,DZA,1955,1445.2239,
Algeria,DZA,1960,2088.103,
Algeria,DZA,1965,1869.6755,
Algeria,DZA,1970,2249.2197,
Algeria,DZA,1975,2521.9534,
Algeria,DZA,1980,3151.8252,
Algeria,DZA,1985,3431.0327,
Algeria,DZA,1990,2946.8655,
Algeria,DZA,1995,2651,
Algeria,DZA,2000,2895,
Algeria,DZA,2005,3470,
Algeria,DZA,2010,3600,
Algeria,DZA,2015,3851,
Algeria,DZA,2020,3534.4219,
Angola,AGO,1870,603.9521,
Angola,AGO,1880,616.0681,
Angola,AGO,1890,643.805,
Angola,AGO,1900,691.8744,
Angola,AGO,1913,684.5586,
Angola,AGO,1925,673.3279,
Angola,AGO,1929,705.5148,
Angola,AGO,1933,683.256,
Angola,AGO,1938,744.60913,
Angola,AGO,1950,1051.822,
Angola,AGO,1955,1148.4838,
Angola,AGO,1960,1252.985,
Angola,AGO,1965,1595.7722,
Angola,AGO,1970,1767.6884,
Angola,AGO,1975,1072.8142,
Angola,AGO,1980,961.4301,
Angola,AGO,1985,779.3312,
Angola,AGO,1990,868.0658,
Angola,AGO,1995,631,
Angola,AGO,2000,734,
Angola,AGO,2005,1031,
Angola,AGO,2010,1594,
Angola,AGO,2015,1744,
Angola,AGO,2020,1332.8452,
Argentina,ARG,1870,1559.5538,
Argentina,ARG,1880,1687.9886,
Argentina,ARG,1890,3115.9917,
Argentina,ARG,1900,2877.1755,
Argentina,ARG,1913,3962.2568,
Argentina,ARG,1925,4090.7136,
Argentina,ARG,1929,4558.1816,
Argentina,ARG,1933,3780.145,
Argentina,ARG,1938,4246.128,
Argentina,ARG,1950,5203.5137,
Argentina,ARG,1955,5460.463,
Argentina,ARG,1960,5802.536,
Argentina,ARG,1965,6651.4854,
Argentina,ARG,1970,7623.1924,
Argentina,ARG,1975,8073.911,
Argentina,ARG,1980,8367.409,
Argentina,ARG,1985,7020.3364,
Argentina,ARG,1990,6432.922,
Argentina,ARG,1995,7930.67,
Argentina,ARG,2000,8509.06,
Argentina,ARG,2005,8866.957,
Argentina,ARG,2010,10687.06,
Argentina,ARG,2015,10915.066,
Argentina,ARG,2020,8979.94,
Armenia,ARM,1980,5829.0063,
Armenia,ARM,1985,6578.3564,
Armenia,ARM,1990,6065.8325,
Armenia,ARM,1995,3440,
Armenia,ARM,2000,4383,
Armenia,ARM,2005,7961,
Armenia,ARM,2010,9656,
Armenia,ARM,2015,12003,
Armenia,ARM,2020,13379.747,
Australia,AUS,1870,3273,
Australia,AUS,1880,4285,
Australia,AUS,1890,4458,
Australia,AUS,1900,4013,
Australia,AUS,1913,5157,
Australia,AUS,1925,5553,
Australia,AUS,1929,5263,
Australia,AUS,1933,4842,
Australia,AUS,1938,5886,
Australia,AUS,1950,7412,
Australia,AUS,1955,8027,
Australia,AUS,1960,8791,
Australia,AUS,1965,10152,
Australia,AUS,1970,12024,
Australia,AUS,1975,13170,
Australia,AUS,1980,14412,
Australia,AUS,1985,15638,
Australia,AUS,1990,17173,
Australia,AUS,1995,18663,
Australia,AUS,2000,21576,
Australia,AUS,2005,23943,
Australia,AUS,2010,25145,
Australia,AUS,2015,26616,
Australia,AUS,2020,27236.725,
Austria,AUT,1870,2217.036,
Austria,AUT,1880,2287.268,
Austria,AUT,1890,2550.9016,
Austria,AUT,1900,2864.3264,
Austria,AUT,1913,3465.4944,
Austria,AUT,1925,3366.9395,
Austria,AUT,1929,3698.5295,
Austria,AUT,1933,2833.17,
Austria,AUT,1938,3559.4958,
Austria,AUT,1950,3706.075,
Austria,AUT,1955,5053.344,
Austria,AUT,1960,6518.54,
Austria,AUT,1965,7734.13,
Austria,AUT,1970,9747.443,
